web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,nbre_chambre,nbre_salle_de_bain,adresse,prix,image_lien-src,superficie
"1738145254-95","https://www.expat-dakar.com/appartements-a-louer?page=119","STUDIO A LOUER A LA SICAP FOIRE
                                1 chambre50 m²
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        8. oct. '24, 21:13
                                    
                    200 000 F Cfa
                        
                        785393382
                    
                        775452867","https://www.expat-dakar.com/annonce/studio-a-louer-a-la-sicap-foire-6180058","Commodités
        
            Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            50 m²","1","1","Sicap foire
            
                Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ef99ede7679e9370246f9cfbbd1c07c/-/horizon-files-prod/ed/picture/qkr8xxkz/49fc7b4db2b249dae07ce269cb6d89f1b45b90fa.jpg","50 m²"
"1738145257-96","https://www.expat-dakar.com/appartements-a-louer?page=119","Grand appartement à louer à liberte 6
                                3 chambre150 m²
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        12. déc. '24, 12:10
                                    
                    375 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/grand-appartement-a-louer-a-liberte-6-6128637","Chambres
        
                            3
                    
            Mètres carrés
        
                            150 m²","3","","Liberte 6
            
                Dakar","375 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a87fdbb443c8c3f0128550563c3d9593/-/horizon-files-prod/ed/picture/qj4qr72z/d7f091cc832798d6eea45246c25e3da57a5043a7.jpg","150 m²"
"1738145260-97","https://www.expat-dakar.com/appartements-a-louer?page=119","Appartement 2 chambres salon
                                2 chambre
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        10. nov. '24, 14:05
                                    
                    225 000 F Cfa
                        
                        785433773","https://www.expat-dakar.com/annonce/appartement-2-chambres-salon-6181757","Chambres
        
                            2
                    
            Salle de Bain
        
                            2","2","2","Ouest foire
            
                Dakar","225 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9484ba4f651d9ecdec8d6a337547916/-/horizon-files-prod/ed/picture/qgqwdjw2/de6c3d515dcfe332fad109b7467688bf44dd0636.jpg",""
"1738145262-98","https://www.expat-dakar.com/appartements-a-louer?page=119","Magnifique appartement à louer à baobab
                                3 chambre200 m²
                                                                                    Sicap baobab,
                                                                                Dakar
                                    
                                        25. déc. '24, 13:13
                                    
                    400 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/magnifique-appartement-a-louer-a-baobab-6125929","Chambres
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","","Sicap baobab
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1bb84041ed889d7a1a5330e95944f6fb/-/horizon-files-prod/ed/picture/qq4279jw/4d7d7675f8e8d77eb932c5de42fd2d603c6af269.jpg","200 m²"
"1738145265-99","https://www.expat-dakar.com/appartements-a-louer?page=119","Magnifique Duplex F5 à louer sur Ngor Almadies
                                4 chambre250 m²
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        4. nov. '24, 09:46
                                    
                    1 275 000 F Cfa
                        
                        775154686","https://www.expat-dakar.com/annonce/magnifique-duplex-f5-a-louer-sur-ngor-almadies-6164787","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            250 m²","4","5","Ngor
            
                Dakar","1 275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc8d7cab44618b4c9ed5c53036d18f47/-/horizon-files-prod/ed/picture/qzvpzgdq/2ff1c2678a256ccb0c84bfc8e15ada3c7de37c2f.jpg","250 m²"
"1738145267-100","https://www.expat-dakar.com/appartements-a-louer?page=119","Appartement 4 chambres corniche fann résidence
                                4 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        14. nov. '24, 21:55
                                    
                    3 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-4-chambres-corniche-fann-residence-6104205","Chambres
        
                            4
                    
            Salle de Bain
        
                            6
                    
            Mètres carrés
        
                            300 m²","4","6","Fann
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/722f47cf8b597933737a09406af6520d/-/horizon-files-prod/ed/picture/qngpg9rm/36d99bdb9ed0a49286b6a35b200c077610b50589.jpg","300 m²"
"1738145269-101","https://www.expat-dakar.com/appartements-a-louer?page=119","Studio spacieux à Zac Mbao
                                1 chambre
                                                                                    Zac Mbao,
                                                                                Dakar
                                    
                                        lundi, 11:03
                                    
                    150 000 F Cfa
                        
                        777488842","https://www.expat-dakar.com/annonce/studio-spacieux-a-zac-mbao-6185699","Chambres
        
                            1
                    
            Salle de Bain
        
                            2","1","2","Zac Mbao
            
                Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/91d74f38315ed727fc9cc4e06f32222f/-/horizon-files-prod/ed/picture/qxjpk5k2/6965e3a5202344853f51f974ed83679ec9cf68bd.jpg",""
"1738145272-102","https://www.expat-dakar.com/appartements-a-louer?page=119","Appartement à louer à Fann résidence sur la corniche
                                4 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        dimanche, 13:27
                                    
                    3 300 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-a-fann-residence-sur-la-corniche-6024308","Chambres
        
                            4
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            300 m²","4","4","Fann
            
                Dakar","3 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf66e0f7197f1b9e112b734f83382151/-/horizon-files-prod/ed/picture/q8v587j4/7b1e586439cb6d461af97b2ce18fe69f87bc430e.jpg","300 m²"
"1738145274-103","https://www.expat-dakar.com/appartements-a-louer?page=119","Superbe penthouse au Virage
                                4 chambre200 m²
                                                                                    Virage,
                                                                                Dakar
                                    
                                        5. janv., 07:26
                                    
                    2 500 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/superbe-penthouse-au-virage-6186435","Chambres
        
                            4
                    
            Mètres carrés
        
                            200 m²","4","","Virage
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9ac1f4f7df6da3b91a6fc5594f2da11/-/horizon-files-prod/ed/picture/qgqwd2nk/cb1bb54662fe6167459a6a223833e21b279c9ee4.jpg","200 m²"
"1738145281-104","https://www.expat-dakar.com/appartements-a-louer?page=118","Appartement à louer 4 chambres point e
                                4 chambre258 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        16. oct. '24, 21:51
                                    
                    1 600 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-4-chambres-point-e-6187200","Chambres
        
                            4
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            258 m²","4","4","Point-e
            
                Dakar","1 600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed5d01268b23d5e0c9e35c1a398705d3/-/horizon-files-prod/ed/picture/q6xd5xzv/294d0dc805c7b9b27b06b41a6922cac385731af1.jpg","258 m²"
"1738145284-105","https://www.expat-dakar.com/appartements-a-louer?page=118","Duplex à louer a Fanny résidence
                                4 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        21. oct. '24, 22:35
                                    
                    2 300 000 F Cfa
                        
                        787857711
                    
                        775279075","https://www.expat-dakar.com/annonce/duplex-a-louer-a-fanny-residence-6187633","Chambres
        
                            4
                    
            Mètres carrés
        
                            200 m²","4","","Fann
            
                Dakar","2 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb798b6f84204bcc3755bc50cd3815f7/-/horizon-files-prod/ed/picture/qxjpq6kj/c0caf75e9c802ef9ba8eb7a465d5dc76b738615b.jpg","200 m²"
"1738145286-106","https://www.expat-dakar.com/appartements-a-louer?page=118","Superbe appartement à Fann mermoz
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        2. déc. '24, 06:50
                                    
                    1 000 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/superbe-appartement-a-fann-mermoz-6145521","Chambres
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","","Fann
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/104f920b614f48d259946fb4ebbb6688/-/horizon-files-prod/ed/picture/qzvp8drn/9ee96b0a6fbf9d16d0bd092085023b2c51c37f02.jpg","200 m²"
"1738145288-107","https://www.expat-dakar.com/appartements-a-louer?page=118","Magnifique studio à louer à mermoz
                                1 chambre90 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        vendredi, 21:05
                                    
                    275 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/magnifique-studio-a-louer-a-mermoz-6189052","Chambres
        
                            1
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            90 m²","1","2","Mermoz
            
                Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad5628be288c4096191fc1b3281896fd/-/horizon-files-prod/ed/picture/q8v4gmpx/6c34b14ba0969edfc671a12a83e7a062a6f9c348.jpg","90 m²"
"1738145291-108","https://www.expat-dakar.com/appartements-a-louer?page=118","Appartement fourni f2
                                1 chambre110 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        7. nov. '24, 18:08
                                    
                    550 000 F Cfa
                        
                        777243397","https://www.expat-dakar.com/annonce/appartement-fourni-f2-6190185","Chambres
        
                            1
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            110 m²","1","2","Mamelles
            
                Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/68a3c731559ed36f5ebea2e4117ee97f/-/horizon-files-prod/ed/picture/q56dgrq6/aa806130f2c98ef726c0a6870af7cd298b5115b2.jpg","110 m²"
"1738145293-109","https://www.expat-dakar.com/appartements-a-louer?page=118","Appartement à louer a Mermoz sotrack
                                3 chambre180 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        14. nov. '24, 22:01
                                    
                    875 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-a-mermoz-sotrack-6191618","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            180 m²","3","3","Mermoz
            
                Dakar","875 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c8d6f590ff84bb634f94abd5d602af6/-/horizon-files-prod/ed/picture/qde7n4z7/31c577ca5b2c1bac403330a3160104bb5b805ee1.jpg","180 m²"
"1738145296-110","https://www.expat-dakar.com/appartements-a-louer?page=118","APPARTEMENTS F3 NEUFS A LOUER
                                2 chambre
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        vendredi, 13:52
                                    
                    325 000 F Cfa
                        
                        770987576
                    
                        772174185
                    
                        779777373","https://www.expat-dakar.com/annonce/appartements-f3-neufs-a-louer-6190666","Chambres
        
                            2
                    
            Salle de Bain
        
                            2","2","2","Patte d‘oie
            
                Dakar","325 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/de425b61da58581b5ba46886ce18c8c7/-/horizon-files-prod/ed/picture/q6xd5v2g/fd7c13ba3a83bf2c161176697ff78e9ed6957398.jpg",""
"1738145298-111","https://www.expat-dakar.com/appartements-a-louer?page=118","Appartement a louer a Liberté 6
                                
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        19. déc. '24, 12:18
                                    
                    275 000 F Cfa
                        
                        704954979","https://www.expat-dakar.com/annonce/appartement-a-louer-a-liberte-6-6192904","","","","Liberte 6
            
                Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d39c2f896c2d19c194174d0fa2de0fd/-/horizon-files-prod/ed/picture/q9mjg2kx/9c3c9db7a3f4dd1f2afbba31a4a75dd98a54d891.jpg",""
"1738145301-112","https://www.expat-dakar.com/appartements-a-louer?page=118","A louer des appartements F5 Centre-Ville avec vue sur mer
                                4 chambre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        4. nov. '24, 14:22
                                    
                    1 300 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/a-louer-des-appartements-f5-centre-ville-avec-vue-sur-mer-6192667","Chambres
        
                            4
                    
            Salle de Bain
        
                            4","4","4","Plateau
            
                Dakar","1 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/917b7d0eb57ce4ee08ac276a930ef639/-/horizon-files-prod/ed/picture/q78wgr6e/74b07a32bc7b9ec7705a292842e1a1451a181dee.jpg",""
"1738145306-113","https://www.expat-dakar.com/appartements-a-louer?page=117","APPT3 chambres Mermoz
                                3 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        19. nov. '24, 11:05
                                    
                    600 000 F Cfa
                        
                        771104341
                    
                        762555274","https://www.expat-dakar.com/annonce/appt3-chambres-mermoz-6194021","Chambres
        
                            3
                    
            Salle de Bain
        
                            2","3","2","Mermoz
            
                Dakar","600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/27b1d34ac10cd7297eff614167a4aaf5/-/horizon-files-prod/ed/picture/qzvpxk5x/dd170ca56b2b4ba5d744a3df13405a219cf908bd.jpg",""
"1738145308-114","https://www.expat-dakar.com/appartements-a-louer?page=117","Appartement F3 tout neuf à louer à colobane
                                2 chambre
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        27. oct. '24, 20:55
                                    
                    325 000 F Cfa
                        
                        774723333","https://www.expat-dakar.com/annonce/appartement-f3-tout-neuf-a-louer-a-colobane-6153982","Chambres
        
                            2","2","","Colobane
            
                Dakar","325 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/edb8438f1f4f764dc53e858f6d2b4ac7/-/horizon-files-prod/ed/picture/qpdmgxv2/fb37dad9757f87d936b1a5921097efefcda2a0c0.jpg",""
"1738145311-115","https://www.expat-dakar.com/appartements-a-louer?page=117","Appartement neuf à louer à la zone de captage
                                1 chambre90 m²
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        28. oct. '24, 22:35
                                    
                    200 000 F Cfa
                        
                        775211734
                    
                        775211734
                    
                        774238299","https://www.expat-dakar.com/annonce/appartement-neuf-a-louer-a-la-zone-de-captage-6196067","Chambres
        
                            1
                    
            Mètres carrés
        
                            90 m²","1","","Zone de captage
            
                Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8845a1a8041741aad4298e8279f88c4/-/horizon-files-prod/ed/picture/q78wgezg/f2b4f92caac439fc4da6042027330dd744256844.jpg","90 m²"
"1738145313-116","https://www.expat-dakar.com/appartements-a-louer?page=117","Standing Appartement F4 dans la cité Mbackiyoufaye
                                3 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        26. nov. '24, 14:08
                                    
                    500 000 F Cfa
                        
                        785469330","https://www.expat-dakar.com/annonce/standing-appartement-f4-dans-la-cite-mbackiyoufaye-6164733","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","Mamelles
            
                Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7fe620b54c56efceaff809547f4da67e/-/horizon-files-prod/ed/picture/qxjpg4j2/9bb692cbf2f1a230698d7c9a8263cc2e7b5160d5.jpg",""
"1738145316-117","https://www.expat-dakar.com/appartements-a-louer?page=117","Appartement  à louer
                                4 chambre200 m²
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        15. nov. '24, 20:11
                                    
                    450 000 F Cfa
                        
                        766343415
                    
                        776108934","https://www.expat-dakar.com/annonce/appartement-a-louer-6006136","Chambres
        
                            4
                    
            Mètres carrés
        
                            200 m²","4","","Ouest foire
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e551b4e411f7c41e3f84bf2076c5c19/-/horizon-files-prod/ed/picture/qkrgnrx8/aebff31a4dbe0624a8adbd9297cb7491c3c96c8c.jpg","200 m²"
"1738145318-118","https://www.expat-dakar.com/appartements-a-louer?page=117","Appartement 2 chambres salon espace familiale Mamelles
                                
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        23. nov. '24, 16:57
                                    
                    350 000 F Cfa
                        
                        773464496
                    
                        767924983","https://www.expat-dakar.com/annonce/appartement-2-chambres-salon-espace-familiale-mamelles-6198297","","","","Mamelles
            
                Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/31140f129ed44a4676192bd48e8e73cf/-/horizon-files-prod/ed/picture/q44n7d6v/a81e7419ef7c87c52b72b73751f65398c1d91f2b.jpg",""
"1738145321-119","https://www.expat-dakar.com/appartements-a-louer?page=117","Joli appartement F5 avec piscine
                                4 chambre180 m²
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        30. oct. '24, 20:34
                                    
                    1 000 000 F Cfa
                        
                        772251409
                    
                        760121325","https://www.expat-dakar.com/annonce/joli-appartement-f5-avec-piscine-6152982","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            180 m²","4","5","Ngor
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6428d83b06be3a43c5872d180320ac5/-/horizon-files-prod/ed/picture/qpdmgvep/59ca8178e6e245c4bf1a85ee5c6c067a3be13d5c.jpg","180 m²"
"1738145324-120","https://www.expat-dakar.com/appartements-a-louer?page=117","Appartement haut standing avec vue sur mer à sacré cœur
                                4 chambre285 m²
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        26. déc. '24, 08:19
                                    
                    1 139 600 F Cfa
                        
                        768115612
                    
                        768115612","https://www.expat-dakar.com/annonce/appartement-haut-standing-avec-vue-sur-mer-a-sacre-coeur-6199168","Chambres
        
                            4
                    
            Mètres carrés
        
                            285 m²","4","","Sacré-cœur
            
                Dakar","1 139 600 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f65f8725056d6a8e0ae26db2e781454c/-/horizon-files-prod/ed/picture/qv4wxwwk/a51f17d3408fba07d18c16fbd3f8fa349599dc06.jpg","285 m²"
"1738145326-121","https://www.expat-dakar.com/appartements-a-louer?page=117","appartement f4 neuf au plateau
                                
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        31. oct. '24, 09:54
                                    
                    2 000 000 F Cfa
                        
                        775798136
                    
                        338224343","https://www.expat-dakar.com/annonce/appartement-f4-neuf-au-plateau-6198824","","","","Plateau
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/58c35a570c132e7d77266c5724b08bd8/-/horizon-files-prod/ed/picture/qv4wxexj/a30e674afa5a17fe3083657698e5cf9f8eb2f600.jpg",""
"1738145328-122","https://www.expat-dakar.com/appartements-a-louer?page=117","Appartement  à louer aux mamelles
                                2 chambre70 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        31. oct. '24, 09:59
                                    
                    350 000 F Cfa
                        
                        777303803
                    
                        768134798
                    
                        761569978","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-mamelles-6062842","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            70 m²","2","2","Mamelles
            
                Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8764df2e2fc6cf2a38b3fd8a7b2b4b7/-/horizon-files-prod/ed/picture/qenq0x7k/3ef0646bae30f9a86b8cce65d2ca43e2abed5354.jpg","70 m²"
"1738145333-123","https://www.expat-dakar.com/appartements-a-louer?page=116","Appartement F4 vide à louer aux Almadies
                                3 chambre180 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        5. nov. '24, 10:23
                                    
                    1 000 000 F Cfa
                        
                        774762606","https://www.expat-dakar.com/annonce/appartement-f4-vide-a-louer-aux-almadies-6198667","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            180 m²","3","3","Almadies
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/256911fae12bc676da6b3fb82ddd2629/-/horizon-files-prod/ed/picture/q78w955d/8716e661949c80fa31260ec2b42d31f97480e424.jpg","180 m²"
"1738145336-124","https://www.expat-dakar.com/appartements-a-louer?page=116","Ref_2690_GL Penthouse neuf à louer aux Almadies
                                5 chambre480 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        31. oct. '24, 11:16
                                    
                    4 500 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/ref-2690-gl-penthouse-neuf-a-louer-aux-almadies-6199484","Chambres
        
                            5
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            480 m²","5","5","Almadies
            
                Dakar","4 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1df66af4f6277b76acce920543b76050/-/horizon-files-prod/ed/picture/qde7478g/4cab0b76940cca4dbc3f8242615a50f4f492615f.jpg","480 m²"
"1738145338-125","https://www.expat-dakar.com/appartements-a-louer?page=116","Studio neuf à louer sur la Vdn
                                1 chambre55 m²
                                                                                    VDN,
                                                                                Dakar
                                    
                                        8. nov. '24, 11:53
                                    
                    275 000 F Cfa
                        
                        782959494","https://www.expat-dakar.com/annonce/studio-neuf-a-louer-sur-la-vdn-6199569","Chambres
        
                            1
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            55 m²","1","2","VDN
            
                Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/08cc4919b14f0556b02b9c78258a8a6e/-/horizon-files-prod/ed/picture/q0g75kpx/46e9f83ff6f29d44352e271f0f9269bc2a9a8704.jpg","55 m²"
"1738145340-126","https://www.expat-dakar.com/appartements-a-louer?page=116","Ref_2620_GL F4 avec terrasse de haut standing à Sacré Cœur 1
                                3 chambre
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        31. oct. '24, 13:26
                                    
                    1 200 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/ref-2620-gl-f4-avec-terrasse-de-haut-standing-a-sacre-coeur-1-6113770","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","Sacré-cœur
            
                Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/810248af0e6e12fe7f7990b676573f1c/-/horizon-files-prod/ed/picture/q9mj89vx/ae61294c22c759ef91d9b8551343d42c3cd2c108.jpg",""
"1738145343-127","https://www.expat-dakar.com/appartements-a-louer?page=116","Grand appartement à louer à la keur gorgui
                                2 chambre150 m²
                                                                                    Sicap baobab,
                                                                                Dakar
                                    
                                        23. déc. '24, 13:18
                                    
                    300 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/grand-appartement-a-louer-a-la-keur-gorgui-6141830","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            150 m²","2","2","Sicap baobab
            
                Dakar","300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4bb9bcdde43a1989d4dbfc68c29604e/-/horizon-files-prod/ed/picture/q8v44w7z/fe779eba24854f14fe34c47adca34ec30e9deaee.jpg","150 m²"
"1738145345-128","https://www.expat-dakar.com/appartements-a-louer?page=116","Appartement F5 moderne corniche mamelles
                                5 chambre334 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        31. oct. '24, 17:00
                                    
                    3 000 000 F Cfa
                        
                        770107474
                    
                        778785858","https://www.expat-dakar.com/annonce/appartement-f5-moderne-corniche-mamelles-6199861","Chambres
        
                            5
                    
            Salle de Bain
        
                            6
                    
            Mètres carrés
        
                            334 m²","5","6","Mamelles
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/51a7c1be8a11cc8e895803b63ecf8c18/-/horizon-files-prod/ed/picture/q2j05k2e/8aead1e8e5f47b18a29d8bfba1455f22db896300.jpg","334 m²"
"1738145348-129","https://www.expat-dakar.com/appartements-a-louer?page=116","Appartement neuf a la sicap foire
                                3 chambre150 m²
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        31. oct. '24, 20:00
                                    
                    450 000 F Cfa
                        
                        773973030","https://www.expat-dakar.com/annonce/appartement-neuf-a-la-sicap-foire-6199938","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            150 m²","3","3","Sicap foire
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/88d66f6b10aa986ed8e321a4d68a883c/-/horizon-files-prod/ed/picture/qpdm2gej/22d460c67e0f2afa6218dad5c1d576b71ba33a4d.jpg","150 m²"
"1738145350-130","https://www.expat-dakar.com/appartements-a-louer?page=116","Appartement meublé à louer Almadies
                                2 chambre120 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        31. oct. '24, 21:16
                                    
                    700 000 F Cfa
                        
                        775597743","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-almadies-6199966","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            120 m²","2","2","Almadies
            
                Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/43d39d5ce684b74449849653e27e6312/-/horizon-files-prod/ed/picture/q6xdzqp8/b16c7555f1d50db03bfa6ae23e19552b7756e4c0.jpg","120 m²"
"1738145352-131","https://www.expat-dakar.com/appartements-a-louer?page=116","Appartement neuf liberté 6
                                2 chambre150 m²
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        25. nov. '24, 14:10
                                    
                    375 000 F Cfa
                        
                        763826164
                    
                        763826164","https://www.expat-dakar.com/annonce/appartement-neuf-liberte-6-6178637","Chambres
        
                            2
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            150 m²","2","3","Liberte 6
            
                Dakar","375 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b16c7a952f974b03f6d5f63963074277/-/horizon-files-prod/ed/picture/qj4qx6er/0ae63c08a8a55881f5251e7f5d178529e6411353.jpg","150 m²"
"1738145355-132","https://www.expat-dakar.com/appartements-a-louer?page=116","Somptueux F4 à louer sur Mermoz
                                3 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        21. nov. '24, 19:08
                                    
                    1 000 000 F Cfa
                        
                        776789008","https://www.expat-dakar.com/annonce/somptueux-f4-a-louer-sur-mermoz-6200307","Chambres
        
                            3
                    
            Salle de Bain
        
                            4","3","4","Mermoz
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/95e1cf995baee3709ddee3c7f89711a2/-/horizon-files-prod/ed/picture/qq42g987/d9b26fe149c86414dac57d339c640e146e236751.jpg",""
"1738145360-133","https://www.expat-dakar.com/appartements-a-louer?page=115","Appartement à louer
                                2 chambre100 m²
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        1. nov. '24, 12:10
                                    
                    275 000 F Cfa
                        
                        775211734
                    
                        775211734
                    
                        774238299","https://www.expat-dakar.com/annonce/appartement-a-louer-6195527","Chambres
        
                            2
                    
            Mètres carrés
        
                            100 m²","2","","Zone de captage
            
                Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cfda832df7aa4aadbb3cbd509c8e4522/-/horizon-files-prod/ed/picture/qngpw68m/8c8aaee0d0746c838e1425c62432ea4efbb19cfc.jpg","100 m²"
